Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
LSO,2022-04-01,2022-04-30,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7004,April,LCU,3403.500000,A
LSO,2022-05-01,2022-05-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7005,May,LCU,3480.900000,A
LSO,2022-06-01,2022-06-30,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7006,June,LCU,3469.600000,A
LSO,2022-07-01,2022-07-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7007,July,LCU,3559.600000,A
LSO,2022-08-01,2022-08-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7008,August,LCU,4135.200000,A
LSO,2022-09-01,2022-09-30,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7009,September,LCU,3945.200000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5531,Producer Price (SLC/tonne),2021,2021,7021,Annual value,SLC,3187.400000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5531,Producer Price (SLC/tonne),2022,2022,7021,Annual value,SLC,3486.100000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5532,Producer Price (USD/tonne),2021,2021,7021,Annual value,USD,215.700000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,213.100000,A
LSO,2023-01-01,2023-12-31,122,'426,Lesotho,187,'01705,"Peas, dry",5530,Producer Price (LCU/tonne),2023,2023,7021,Annual value,LCU,357.000000,A
LSO,2023-01-01,2023-12-31,122,'426,Lesotho,187,'01705,"Peas, dry",5531,Producer Price (SLC/tonne),2023,2023,7021,Annual value,SLC,357.000000,A
LSO,2023-01-01,2023-12-31,122,'426,Lesotho,187,'01705,"Peas, dry",5532,Producer Price (USD/tonne),2023,2023,7021,Annual value,USD,19.300000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,116,'01510,Potatoes,5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,8705.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,116,'01510,Potatoes,5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,6949.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,116,'01510,Potatoes,5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,7566.000000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,116,'01510,Potatoes,5531,Producer Price (SLC/tonne),2020,2020,7021,Annual value,SLC,8705.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,116,'01510,Potatoes,5531,Producer Price (SLC/tonne),2021,2021,7021,Annual value,SLC,6949.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,116,'01510,Potatoes,5531,Producer Price (SLC/tonne),2022,2022,7021,Annual value,SLC,7566.000000,A
LSO,2020-01-01,2020-12-31,122,'426,Lesotho,116,'01510,Potatoes,5532,Producer Price (USD/tonne),2020,2020,7021,Annual value,USD,528.400000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,116,'01510,Potatoes,5532,Producer Price (USD/tonne),2021,2021,7021,Annual value,USD,470.200000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,116,'01510,Potatoes,5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,462.600000,A
LSO,1991-01-01,1991-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,890.000000,A
LSO,1992-01-01,1992-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,890.000000,A
LSO,1993-01-01,1993-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,890.000000,A
LSO,1994-01-01,1994-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,890.000000,A
LSO,1995-01-01,1995-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,1000.000000,A
LSO,1996-01-01,1996-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,1200.000000,A
LSO,1997-01-01,1997-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,1200.000000,A
LSO,1998-01-01,1998-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,1240.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,16330.000000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,17433.300000,A
LSO,2022-01-01,2022-01-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2022,2022,7001,January,LCU,16973.300000,A
LSO,2022-02-01,2022-02-28,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2022,2022,7002,February,LCU,17320.000000,A
LSO,2022-03-01,2022-03-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2022,2022,7003,March,LCU,17360.000000,A
LSO,2022-04-01,2022-04-30,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2022,2022,7004,April,LCU,16753.300000,A
LSO,2022-05-01,2022-05-31,122,'426,Lesotho,882,'02211,Raw milk of cattle,5530,Producer Price (LCU/tonne),2022,2022,7005,May,LCU,17746.700000,A
